,packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
11674,21.0,18.0,1965.0,6473.0,1.0,5.0,1.0,5.0,4.0,12.0,1081.0,5741.0,15043.0,536.0,190.0,96.0,734.0,1928.0,273.0,714.0,15007.0,494.0,amazon-fire-tv-stick-4k
11675,20.0,16.0,1976.0,6393.0,1.0,5.0,1.0,4.0,4.0,11.0,1108.0,5741.0,15837.0,582.0,190.0,96.0,761.0,2920.0,285.0,959.0,15802.0,538.0,amazon-fire-tv-stick-4k
11676,20.0,17.0,1917.0,6434.0,1.0,5.0,1.0,5.0,4.0,12.0,1085.0,5742.0,15837.0,546.0,190.0,96.0,738.0,2920.0,275.0,894.0,15802.0,503.0,amazon-fire-tv-stick-4k
11677,21.0,18.0,2006.0,6504.0,1.0,6.0,1.0,5.0,4.0,13.0,1086.0,5772.0,15045.0,514.0,190.0,96.0,739.0,1928.0,275.0,719.0,15010.0,471.0,amazon-fire-tv-stick-4k
11678,21.0,17.0,1970.0,6464.0,1.0,6.0,1.0,4.0,4.0,12.0,1086.0,5772.0,15046.0,547.0,190.0,96.0,739.0,3388.0,275.0,1030.0,15010.0,503.0,amazon-fire-tv-stick-4k
11679,21.0,18.0,1831.0,6643.0,1.0,6.0,1.0,6.0,4.0,13.0,911.0,5911.0,15046.0,515.0,190.0,96.0,564.0,1928.0,202.0,717.0,15011.0,472.0,amazon-fire-tv-stick-4k
11680,23.0,21.0,3009.0,7845.0,1.0,5.0,2.0,9.0,5.0,15.0,2045.0,6993.0,13796.0,587.0,190.0,96.0,868.0,1460.0,363.0,626.0,13761.0,570.0,amazon-fire-tv-stick-4k
11681,47.0,44.0,5833.0,55021.0,1.0,5.0,5.0,32.0,7.0,37.0,3273.0,52713.0,6632.0,644.0,182.0,1448.0,762.0,4133.0,274.0,961.0,6560.0,587.0,amazon-fire-tv-stick-4k
11682,42.0,36.0,3214.0,45580.0,1.0,2.0,2.0,30.0,4.0,32.0,1022.0,43700.0,7340.0,664.0,185.0,1448.0,474.0,2896.0,162.0,527.0,7251.0,590.0,amazon-fire-tv-stick-4k
11683,2807.0,5153.0,146615.0,8114766.0,1.0,1.0,1.0,5145.0,4.0,5148.0,643.0,7846802.0,108.0,47.0,196.0,1438.0,290.0,7190.0,94.0,541.0,89.0,44.0,amazon-fire-tv-stick-4k
11684,2443.0,4759.0,127719.0,7408482.0,1.0,1.0,1.0,4751.0,4.0,4754.0,651.0,7161006.0,124.0,51.0,196.0,1438.0,298.0,4314.0,97.0,600.0,98.0,60.0,amazon-fire-tv-stick-4k
11685,4099.0,7884.0,213794.0,12297401.0,1.0,1.0,1.0,7877.0,4.0,7879.0,638.0,11887425.0,74.0,31.0,196.0,1438.0,285.0,5752.0,93.0,685.0,58.0,41.0,amazon-fire-tv-stick-4k
11686,13366.0,26151.0,695689.0,39720953.0,1.0,1.0,1.0,26144.0,4.0,26146.0,649.0,38361093.0,23.0,9.0,196.0,1438.0,296.0,4314.0,96.0,753.0,38.0,50.0,amazon-fire-tv-stick-4k
11687,4184.0,7958.0,218219.0,12272926.0,1.0,1.0,1.0,7951.0,4.0,7953.0,643.0,11859102.0,73.0,31.0,196.0,1438.0,290.0,5752.0,94.0,607.0,52.0,49.0,amazon-fire-tv-stick-4k
11688,39.0,24.0,13018.0,6036.0,8.0,8.0,9.0,4.0,19.0,15.0,11414.0,5064.0,4797.0,413.0,195.0,96.0,1460.0,1460.0,755.0,605.0,4750.0,373.0,amazon-fire-tv-stick-4k
11689,76.0,43.0,72821.0,6567.0,8.0,7.0,48.0,4.0,58.0,13.0,69737.0,4835.0,2518.0,239.0,195.0,96.0,1460.0,1460.0,535.0,599.0,2447.0,224.0,amazon-fire-tv-stick-4k
11690,15.0,12.0,3668.0,6218.0,0.0,1.0,3.0,4.0,5.0,7.0,3036.0,5726.0,81.0,109.0,187.0,1460.0,1460.0,1934.0,511.0,717.0,96.0,112.0,amazon-fire-tv-stick-4k
11691,24.0,20.0,8791.0,5602.0,1.0,6.0,6.0,4.0,9.0,12.0,7799.0,4790.0,13083.0,456.0,227.0,96.0,1460.0,1460.0,665.0,589.0,13036.0,420.0,amazon-fire-tv-stick-4k
